School,,Type,State,Reputation,Internet,Opportunity,Clubs,Happiness,Location,Food,Facilities,Social,Safety,Total_Ratings_Submitted,,Overall_Rating
Southern Connecticut State University,,Public,Connecticut,3.1,3.1,3.2,3.4,3.4,3.1,2.4,3.5,3.1,3.8,205,,3.2
Eastern Connecticut State University,,Public,Connecticut,3.6,3.1,3.5,3.7,4,3,2.7,4.1,3.3,3.9,194,,3.5
Central Connecticut State University,,Public,Connecticut,3.3,3.2,3.3,3.2,3.5,3.4,2.6,3.4,2.9,3.7,279,,3.3
Western Connecticut State University,,Public,Connecticut,3.1,3.1,3.2,2.9,3.2,3.3,2.7,3.4,2.9,3.8,155,,3.2
Albertus Magnus,,Private,Connecticut,3.6,3.9,3.6,2.2,3.9,3.6,2.1,3.4,3,4,14,,3.3
Quinnipiac University,,Private,Connecticut,4.1,3.5,4,3.7,4.1,3.9,2.9,4.4,3.7,4.4,275,,3.9
Fairfield University,,Private,Connecticut,4.3,3.6,4.2,3.7,4.3,4.4,3,4.4,3.8,4.6,127,,4
University of New Haven,,Private,Connecticut,3.8,3.1,3.8,3.8,3.9,3.1,2.7,3.5,3.4,4.1,203,,3.5
University of Hartford,,Private,Connecticut,3.5,3.4,3.6,3.5,3.8,3.5,3,3.4,3.3,3.4,193,,3.4
Sacred Heart University,,Private,Connecticut,3.9,3.7,3.9,3.7,3.9,3.6,3.3,4.1,3.6,4.2,173,,3.8
Trinity College,,Private,Connecticut,4.3,3.2,4.2,3.6,4.3,3,3,4.3,4,3.2,71,,3.7
Wesleyan University,,Private,Connecticut,4.8,3.8,4.2,4.2,4.4,3.4,4.4,4.5,4.2,4.2,78,,4.2
Connecticut College,,Private,Connecticut,4.4,3.7,4.2,3.7,4.2,3.6,3.4,4.2,3.5,4.1,62,,3.9
UConn Storrs,,Public,Connecticut,4.2,3.5,3.9,4.2,4.1,3,3.5,4.1,4,4.3,395,,3.9
Uconn Waterbury,,Public,Connecticut,3.8,4.1,3,2.3,3.8,3.2,2.5,4,3.1,4,27,,3.4
UConn Stamford,,Public,Connecticut,3.7,3.7,3.5,2.9,3.7,4.1,3,3.5,3,3.9,40,,3.5
UConn Avery Point,,Public,Connecticut,4.1,4.2,3.6,2.9,4.1,4.6,3.4,4,3.2,4.8,22,,3.9
Mitchell College,,Private,Connecticut,2.8,2.3,2.6,2.3,3.6,3,1.9,2.8,2.3,4,18,,2.8
University of Saint Joseph,,Private,Connecticut,4.1,3.4,3.3,2.5,3.1,3.7,2.6,3.4,2.1,4.4,42,,3.3
University of Bridgeport,,Private,Connecticut,3.1,3.4,3.3,3,3.2,3,2.9,3.4,3.1,3.7,49,,3.2
,,,,,,,,,,,,,,,,
"UMaine, Orono",,Public,Maine,3.5,3.5,3.4,3.6,3.7,3.2,3,3.8,3.6,4.1,209,,3.5
"UMaine, Augusta",,Public,Maine,2.8,3.6,2.9,2.2,3,3.3,2.9,3.2,2.2,3.6,18,,3
"UMaine, Farmington",,Public,Maine,3.8,3.2,3.4,3.5,4.1,3.4,2.7,3.6,3.2,4.4,52,,3.5
"UMaine, Presque Isle",,Public,Maine,3.1,3.7,2.9,3.1,3.4,2.6,2.3,3.1,2.5,2,11,,2.9
University of Southern Maine,,Public,Maine,3,3.6,3.1,3.1,3.3,3.6,2.6,3.2,3,3.7,75,,3.2
University of New England,,Private,Maine,3.8,3.1,3.7,3.4,3.7,4.1,2.5,3.7,3.1,4.6,106,,3.6
Saint Joseph College of Maine,,Private,Maine,2.9,2.9,2.9,2.7,2.9,3.2,3.6,3.1,2.8,4.5,27,,3.2
Husson University,,Private,Maine,3.7,2.8,3.6,3.3,4,3.6,3.7,3.5,3.4,4.8,48,,3.6
Colby College,,Private,Maine,4.4,4.1,4.2,4.1,4.2,3.2,4.1,4.4,3.8,4.4,73,,4.1
Bowdoin College,,Private,Maine,4.7,4.1,4.4,4.3,4.7,4.2,4.9,4.7,4,4.2,33,,4.4
Bates College,,Private,Maine,4.7,3.9,4.5,4.3,4.6,3.5,4.8,4.5,4.3,4.5,72,,4.4
Thomas College,,Private,Maine,3,2.9,3.2,2.9,3.4,3,2.5,3.4,3,2.7,13,,3
"UMaine, Fort Kent",,Public,Maine,3.8,3.5,3.6,3.2,4.3,3.3,2.3,3.5,3.5,5,12,,3.6
"UMaine, Machias",,Publilc,Maine,2.2,3,2.8,2.8,2.8,2.6,2.4,3.1,3.2,3,5,,2.8
Maine Maritime Academy,,Public,Maine,4.8,3.5,4.3,3.4,3.3,2.8,2.7,3,3.5,4.7,11,,3.6
Unity College,,Private,Maine,3.3,3.3,3.6,3.9,3.9,3.3,2.7,3.6,3.8,4.3,21,,3.6
Maine College of Art,,Private,Maine,3.2,2.6,3.5,2.6,3.2,4.3,2.4,3.8,2.8,2,11,,3
,,,,,,,,,,,,,,,,
Rhode Island College,,Public,Rhode Island,3.1,3.3,3,2.9,3.2,3.4,2.4,3.2,2.6,4.1,262,,3.1
University of Rhode Island,,Public,Rhode Island,3.7,2.9,3.8,3.8,4,3.6,3.2,4,3.7,4.2,338,,3.7
Bryant University,,Private,Rhode Island,4.3,3.6,4.4,4,4.4,3.6,2.9,4.2,3.7,4.6,176,,4
Providence College,,Private,Rhode Island,4.3,3.6,4.2,4.2,4.4,3.9,2.9,4.3,4.3,4,179,,4
Roger Williams University,,Private,Rhode Island,3.7,3.1,3.7,3.7,4,4.4,4.6,4.2,3.3,4.7,158,,3.9
Salve Regina University,,Private,Rhode Island,3.7,3.2,3.7,3.3,3.9,4.5,2.6,4.2,3.3,4.5,89,,3.7
Rhode Island School of Design,,Private,Rhode Island,4.8,4.1,1.2,3.5,4.1,4.1,4.1,4.4,3.6,3.6,55,,4.1
"Johnson and Wales University, Providence",,Private,Rhode Island,3.7,3.4,4.1,3.6,3.9,3.8,3.1,3.7,3.5,3.4,219,,
,,,,,,,,,,,,,,,,
"UNH, Durham",,Public,New Hampshire,3.9,3.7,4,4,4.3,4.1,4.3,4.3,4.1,4.5,310,,4.1
Plymouth State University,,Public,New Hampshire,3.5,3.3,3.5,3.3,4.1,4,2.4,3.9,3.7,3.6,120,,3.5
Keene State College,,Public,New Hampshire,3.2,3.2,3.6,3.5,4.1,3.9,3.4,4.1,3.9,4.1,105,,3.7
"Granite State College, Manchester",,Public,New Hampshire,2,2,2,2,3,2.5,2,2,2,0,2,,2.2
Rivier University,,Private,New Hampshire,3.6,3.2,3.6,2.8,3.7,3.9,2.8,3.7,3.1,4.6,25,,3.5
Franklin Pierce University,,Private,New Hampshire,3.2,2.8,3.6,3.7,3.7,3.3,2.6,3.5,3.5,4,31,,3.4
New England College,,Private,New Hampshire,2.6,2.4,2.8,3,3.1,2.3,2,2.9,2.8,2.2,25,,2.6
Saint Anselm College,,Private,New Hampshire,4.2,2.8,3.9,3.4,3.9,3.6,4.5,4.1,3.5,4.2,74,,3.8
Colby-Sawyer College,,Private,New Hampshire,3.5,2.9,3.3,3.4,3.7,3.1,2.5,4,3.2,4.4,49,,3.4
Antioch University,,Private,New Hampshire,4,3.8,3.8,3.2,4.2,3,2.8,3.1,3.6,4.7,5,,3.6
,,,,,,,,,,,,,,,,
Champlain College,,Private,Vermont,4.1,3.6,4.4,3.6,4.2,4.7,2.7,4,3.5,4.6,100,,3.9
Norwich University,,Private,Vermont,4.1,2.6,3.7,3.5,3.4,2.7,2.4,3.5,2.8,3.6,81,,3.2
Middlebury College,,Private,Vermont,4.8,4.4,4.4,4,4.9,4.3,4.5,4.6,4,5,17,,4.5
"University of Vermont, Burlington",,Public,Vermont,4,3.8,3.9,4,4.4,4.6,3.1,4.1,4,4.4,319,,4
Castleton University,,Public,Vermont,3.4,3.3,3.6,3.3,3.9,3.6,2.9,3.8,3.5,4.8,45,,3.6
Saint Michaels College,,Private,Vermont,4.2,3.8,3.8,4,4.4,4.3,3.1,4.2,4,4.2,61,,4
Bennington College,,Private,Vermont,3.9,2.9,3.8,3,3.8,2.9,3.7,4,3.2,4,20,,3.5
Goddard College,,Private,Vermont,5,4,4,3.8,4,4,3.5,4.3,4,0,4,,
Green Mountain College,,Private,Vermont,3.2,2.7,3.3,3.3,3.6,3.1,2.9,3.9,3.5,4,15,,3.4
Southern Vermont College,,Private,Vermont,3.1,3.3,3,2.6,3.4,3.4,2.6,3.1,2.6,4,7,,3.1
"Northern Vermont University, Johnson",,Public,Vermont,3.1,3.3,3.2,3.4,4.3,3.4,2.6,3.9,2.8,5,16,,3.5
Marlboro College,,Private,Vermont,4.4,3.4,3.6,3.3,4.3,3.4,3.1,4,3.5,3.5,16,,3.7
,,,,,,,,,,,,,,,,
Assumption College,,Private,Massachussetts,4.1,3.4,3.8,3.8,3.9,3.9,3,4,3.7,4.4,72,,3.8
Longy School of Music,,Private,Massachussetts,4,2.4,2.6,1.8,2.8,4.6,1.4,2.7,1.8,4,5,,2.8
Bard College at Simons Rock,,Private,Massachussetts,3.9,2.3,3.1,3,3.8,2.4,2.1,3.3,2.8,3.1,38,,3
Pine Manor College,,Private,Massachussetts,1.9,2.3,2.3,1.9,2,3.4,1.9,2.3,1.9,2,8,,2.2
